사업자등록번호,기업명,산업분류코드,산업분류코드설명,기업규모,기업형태
1240400001,에스케이***,47312.0,통신기기 소매업,중소기업,일반
1242100002,에스케이***,47312.0,통신기기 소매업,중소기업,일반
1171400003,에스케이***,47312.0,통신기기 소매업,중소기업,일반
1212000004,에스케이***,47312.0,통신기기 소매업,중소기업,일반
1274000005,네**,47312.0,통신기기 소매업,중소기업,일반
5382500007,우*,47312.0,통신기기 소매업,중소기업,일반
1100200009,대*,68000.0,부동산업,중소기업,일반
3178100014,삼우이**,42321.0,일반 통신 공사업,중소기업,일반
3178100014,(주)삼우***,42321.0,일반 통신 공사업,중소기업,일반
1140300016,에**,42412.0,"도배, 실내 장식 및 내장 목공사업",중소기업,일반
6218100018,케**,41220.0,토목시설물 건설업,중소기업,일반
6218100018,(주)***,41220.0,토목시설물 건설업,중소기업,일반
6168100020,우*,42420.0,유리 및 창호 공사업,중소기업,일반
6168100020,(주)**,42420.0,유리 및 창호 공사업,중소기업,일반
5118100021,우*,41110.0,주거용 건물 건설업,중소기업,일반
5118100021,(주)**,41110.0,주거용 건물 건설업,중소기업,일반
5118100021,(주)**,41110.0,주거용 건물 건설업,중소기업,일반
8878800022,우*,41226.0,조경 건설업,중소기업,일반
8878800022,(주)**,41226.0,조경 건설업,중소기업,일반
4268700023,우*,41111.0,단독 주택 건설업,중소기업,일반
1282200024,더페이**,46100.0,상품 중개업,중소기업,일반
2298100025,아이온커뮤니케***,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,외감
2298100025,(주)아이온커뮤니케***,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,외감
1168100026,엑스퍼트***,85650.0,직원훈련기관,중소기업,외감
1168100026,(주)엑스퍼트***,71531.0,경영컨설팅업,중소기업,외감
4428800028,이*,46522.0,통신·방송장비 및 부품 도매업,중소기업,일반
4428800028,(주)**,46522.0,통신·방송장비 및 부품 도매업,중소기업,일반
1208800029,비바리퍼***,62010.0,컴퓨터 프로그래밍 서비스업,중소기업,외감
1018100030,아**,70113.0,의학 및 약학 연구개발업,중소기업,등록
1018100030,아이진***,70113.0,의학 및 약학 연구개발업,중소기업,코스닥등록
1088100031,매스씨**,73200.0,전문 디자인업,중소기업,외감
1088100031,(주)매스***,73200.0,전문 디자인업,중소기업,일반
6158100033,이**,42322.0,내부 통신배선 공사업,중소기업,일반
6158100033,(주)***,42322.0,내부 통신배선 공사업,중소기업,일반
1308600034,난*,14192.0,"근무복, 작업복 및 유사의복 제조업",중소기업,외감
1308600034,(주)**,14192.0,"근무복, 작업복 및 유사의복 제조업",중소기업,외감
6088100035,우*,42200.0,건물설비 설치 공사업,중소기업,일반
6088100035,(주)**,42200.0,건물설비 설치 공사업,중소기업,일반
5068100036,씨에**,46522.0,통신·방송장비 및 부품 도매업,중소기업,일반
5068100036,(주)씨***,46522.0,통신·방송장비 및 부품 도매업,중소기업,일반
1058700037,시대고시기획시***,58113.0,일반 서적 출판업,중소기업,외감
1058700037,(주)시대고시기획시***,58113.0,일반 서적 출판업,중소기업,외감
5040700038,우*,42400.0,실내건축 및 건축마무리 공사업,중소기업,일반
5892400040,우*,41111.0,단독 주택 건설업,중소기업,일반
6172900041,우*,41111.0,단독 주택 건설업,중소기업,일반
6211700042,우*,41000.0,종합 건설업,중소기업,일반
1018600044,대학**,75992.0,"전시, 컨벤션 및 행사 대행업",중소기업,외감
1018600044,(주)대***,75992.0,"전시, 컨벤션 및 행사 대행업",중소기업,외감
1018600044,(주)대***,75992.0,"전시, 컨벤션 및 행사 대행업",중소기업,외감
1208600046,파*,58220.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,중소기업,등록
1208600046,(주)**,58220.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,중소기업,코스닥등록
1028600048,블루솔***,62010.0,컴퓨터 프로그래밍 서비스업,중소기업,일반
1028600048,(주)블루솔***,62010.0,컴퓨터 프로그래밍 서비스업,중소기업,일반
1351900049,대*,46539.0,기타 산업용 기계 및 장비 도매업,중소기업,일반
1048100052,대우**,41000.0,종합 건설업,중소기업,일반
1048100052,대우**,41000.0,종합 건설업,중소기업,일반
1288100053,디케이아이테크***,58220.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,중소기업,외감
1288100053,(주)디케이아이테크***,58220.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,중소기업,외감
1288100053,(주)디케이아이테크***,58220.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,중소기업,외감
1050300054,기아자**,45100.0,자동차 판매업,중소기업,일반
1050300054,기아자**,45100.0,자동차 판매업,중소기업,일반
1050500055,기아자**,45100.0,자동차 판매업,중소기업,일반
1050500055,기아자**,45100.0,자동차 판매업,중소기업,일반
8048800056,에**,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,일반
8048800056,(주)***,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,일반
6818100057,케**,42311.0,일반전기 공사업,중소기업,일반
6818100057,(주)***,42311.0,일반전기 공사업,중소기업,일반
4168100058,엘씨**,42321.0,일반 통신 공사업,중소기업,일반
4168100058,(주)엘***,42321.0,일반 통신 공사업,중소기업,일반
1368100059,오에이**,72911.0,물질성분 검사 및 분석업,중소기업,외감
1368100059,(주)오에***,72911.0,물질성분 검사 및 분석업,중소기업,외감
6698800060,에이아***,26111.0,메모리용 전자집적회로 제조업,중소기업,일반
6698800060,(주)에이아***,26111.0,메모리용 전자집적회로 제조업,중소기업,일반
1090600062,신*,41000.0,종합 건설업,중소기업,일반
2298100063,이스트***,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,등록
2298100063,(주)이스트***,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,코스닥등록
1068100064,제**,58219.0,기타 게임 소프트웨어 개발 및 공급업,중소기업,일반
1068100064,제페토***,58219.0,기타 게임 소프트웨어 개발 및 공급업,중소기업,외감
1068100064,제페토***,58219.0,기타 게임 소프트웨어 개발 및 공급업,중소기업,외감
6058600065,세종텔**,42321.0,일반 통신 공사업,중소기업,일반
6058600065,(주)세종***,42321.0,일반 통신 공사업,중소기업,일반
5021400066,제이에***,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,일반
2118700067,에코**,42139.0,기타 옥외 시설물 축조관련 전문공사업,중소기업,외감
2118700067,(주)에***,42139.0,기타 옥외 시설물 축조관련 전문공사업,중소기업,외감
1280700069,신*,47911.0,전자상거래 소매 중개업,중소기업,일반
1108100070,위두커뮤니케***,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,일반
1108100070,(주)위두커뮤니케***,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,일반
1212000071,한**,47312.0,통신기기 소매업,중소기업,일반
7838500073,에스**,47300.0,가전제품 및 정보통신장비 소매업,중소기업,일반
7838500073,(주)에***,47300.0,가전제품 및 정보통신장비 소매업,중소기업,일반
4022000075,우*,42412.0,"도배, 실내 장식 및 내장 목공사업",중소기업,일반
2248100077,우*,42311.0,일반전기 공사업,중소기업,일반
2248100077,(주)**,42311.0,일반전기 공사업,중소기업,일반
2248100078,이*,42321.0,일반 통신 공사업,중소기업,일반
2248100078,(주)**,42321.0,일반 통신 공사업,중소기업,일반
1078800081,아이**,42321.0,일반 통신 공사업,중소기업,일반
1078800081,(주)아***,42321.0,일반 통신 공사업,중소기업,일반
1108600083,에이아**,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,일반
1108600083,(주)에이***,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,일반
1358100084,부*,42320.0,통신 공사업,중소기업,일반
1358100084,(주)**,42320.0,통신 공사업,중소기업,일반
1330300085,제이**,62020.0,"컴퓨터시스템 통합 자문, 구축 및 관리업",중소기업,일반
1050300087,대*,47220.0,음료 및 담배 소매업,중소기업,일반
1050300087,대*,47220.0,음료 및 담배 소매업,중소기업,일반
1268600088,제**,46522.0,통신·방송장비 및 부품 도매업,중소기업,일반
1268600088,(주)***,46522.0,통신·방송장비 및 부품 도매업,중소기업,일반
1358100089,기**,46520.0,"가전제품, 통신장비 및 부품 도매업",중소기업,외감
1358100089,(주)***,46520.0,"가전제품, 통신장비 및 부품 도매업",중소기업,외감
1248700090,원*,61210.0,유선통신업,중소기업,일반
1248700090,(주)**,61210.0,유선통신업,중소기업,일반
2138600091,세**,26429.0,기타 무선 통신장비 제조업,중소기업,외감
2138600091,(주)***,26429.0,기타 무선 통신장비 제조업,중소기업,외감
5048500093,애니캐**,58221.0,시스템 소프트웨어 개발 및 공급업,중소기업,일반
5048500093,애니캐**,58221.0,시스템 소프트웨어 개발 및 공급업,중소기업,일반
3832400094,우*,41000.0,종합 건설업,중소기업,일반
6318100095,에이앤**,71531.0,경영컨설팅업,중소기업,외감
6318100095,(주)에이***,71531.0,경영컨설팅업,중소기업,일반
1018100096,페더럴익스프레스***,51200.0,항공 화물운송업,중소기업,외감
1018100096,페더럴익스프레스코리아***,49303.0,개별 화물자동차 운송업,중소기업,외감
6808100097,센**,58221.0,시스템 소프트웨어 개발 및 공급업,중소기업,일반
6808100097,(주)***,58221.0,시스템 소프트웨어 개발 및 공급업,중소기업,일반
4708800099,씨티**,42321.0,일반 통신 공사업,중소기업,일반
4708800099,(주)씨***,42321.0,일반 통신 공사업,중소기업,일반
1238100101,티아이***,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,외감
1248100102,덕양**,42310.0,전기 공사업,중소기업,일반
4168100103,아이**,63110.0,"자료처리, 호스팅 및 관련 서비스업",중소기업,일반
4168100103,(주)아***,63110.0,"자료처리, 호스팅 및 관련 서비스업",중소기업,일반
1198100104,와이즈와***,58200.0,소프트웨어 개발 및 공급업,중소기업,외감
1248100105,제이엠**,59201.0,음악 및 기타 오디오물 출판업,중소기업,등록
1918100107,휴*,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,일반
1918100107,(주)**,58222.0,응용 소프트웨어 개발 및 공급업,중소기업,일반
4120400109,미래정***,42320.0,통신 공사업,중소기업,일반
1108100110,잉글리***,46453.0,"서적, 잡지 및 기타 인쇄물 도매업",중소기업,외감
1108100110,(주)잉글리***,46453.0,"서적, 잡지 및 기타 인쇄물 도매업",중소기업,외감
1018100111,마크**,62021.0,컴퓨터시스템 통합 자문 및 구축 서비스업,중소기업,외감
1018100111,(주)마***,62021.0,컴퓨터시스템 통합 자문 및 구축 서비스업,중소기업,외감
1138600112,피닉스**,58211.0,유선 온라인 게임 소프트웨어 개발 및 공급업,중소기업,외감
1138600112,(주)피닉***,58211.0,유선 온라인 게임 소프트웨어 개발 및 공급업,중소기업,외감
6218100115,디**,41000.0,종합 건설업,중소기업,일반
6218100115,디케이***,41000.0,종합 건설업,중소기업,일반
6168100116,인포마**,58220.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,중소기업,일반
6168100116,(주)인포***,58220.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,중소기업,일반
3148100117,에드**,26429.0,기타 무선 통신장비 제조업,중소기업,일반
3148100117,(주)에***,26429.0,기타 무선 통신장비 제조업,중소기업,일반
1208800118,큐**,18200.0,기록매체 복제업,중소기업,외감
1208800118,(주)***,18200.0,기록매체 복제업,중소기업,일반
1228100119,대성전***,42312.0,내부 전기배선 공사업,중소기업,일반
1130100121,미래**,26410.0,유선 통신장비 제조업,중소기업,일반
4081800122,금성**,47312.0,통신기기 소매업,중소기업,일반
8965300123,금성**,42321.0,일반 통신 공사업,중소기업,일반
5038100124,제이에스***,58220.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,중소기업,일반
5038100124,(주)제이에스***,58220.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,중소기업,일반
1098100125,솔브**,58200.0,소프트웨어 개발 및 공급업,중소기업,일반
