대분류코드,사업자등록번호,순번,특허명칭,IPC코드내용,출원인명,출원번호,특허명,출원날짜,CPC번호,인용수,피인용수,발명자수,청구항수
F,6168100020,1,,,,1020130084797,프리런 구간이 요구되지 않는 양 방향 기준 체적관,20130718.0,G01F25/00,0.0,0.0,2.0,3.0
F,8878800022,1,,,,1020130084797,프리런 구간이 요구되지 않는 양 방향 기준 체적관,20130718.0,G01F25/00,0.0,0.0,2.0,3.0
F,4268700023,1,,,,1020130084797,프리런 구간이 요구되지 않는 양 방향 기준 체적관,20130718.0,G01F25/00,0.0,0.0,2.0,3.0
J,2298100025,1,,,,1020000034589,인터넷 방송 시청자 반응도 조사방법 및 그 시스템,20000622.0,H04N21/4508,0.0,9.0,1.0,6.0
J,1208800029,1,,,,20140058570,전자적 정보와 실제 자금을 분리하여 처리하는 금융 서비스 방법 및 시스템,20140515.0,G06Q20/10,1.0,2.0,5.0,11.0
M,1018100030,1,,,,1019990053486,녹내장코딩  및 단백질,19991129.0,C07K14/47,0.0,0.0,3.0,4.0
F,6158100033,1,,,,1020160184397,항온항습 공조설비,20161230.0,F24F3/147,0.0,0.0,2.0,4.0
C,1308600034,1,,,,1020190168255,보호 가이드 및 보호 가이드를 포함하는 화장품 보관용 팔레트,20191216.0,A45D40/24,1.0,0.0,1.0,10.0
G,5068100036,1,,,,1020050032907,건식1축연신표면개질된 다성분계 미세다공성 복합막 및 그제조방법,20050420.0,H01M10/052,0.0,0.0,2.0,7.0
F,6818100057,1,,,,1020030049999,소듐알루미네이트 용액으로부터 부유성 고형물을 여과하는방법,20030722.0,C01F7/04,0.0,0.0,4.0,11.0
F,4168100058,1,,,,1020140139180,약제 자동 포장기의 인쇄장치,20141015.0,B41J2/325,2.0,0.0,2.0,7.0
M,1368100059,1,,,,1020180109442,항더스트 성능 테스트 장치 및 방법,20180913.0,B01L1/025,1.0,0.0,6.0,11.0
C,6698800060,1,,,,2019980005909,자동소화장치의분사노즐연결부재,19980415.0,,0.0,0.0,1.0,1.0
F,2118700067,1,,,,1020060016627,환경친화 옹벽구조물 및 그 시공방법,20060221.0,E02D29/0233,0.0,3.0,1.0,2.0
F,2248100077,1,,,,1020130079456,악취제거용 크린룸,20130708.0,B65F1/1426,0.0,0.0,1.0,4.0
F,2248100078,1,,,,1020020029013,가축용 자화수 급수장치,20020524.0,E02B13/00,0.0,4.0,1.0,2.0
J,1108600083,1,,,,1020180039606,가상화폐 전자지갑 키관리 기능을 가지는 보안카드 장치 및 가상화폐 전자지갑 키관리 방법,20180405.0,H04L9/3234,1.0,0.0,2.0,11.0
G,1268600088,1,,,,1020010009502,헬멧용 시일드 결합장치,20010224.0,A42B3/223,0.0,1.0,1.0,3.0
J,1248700090,1,,,,1019920023994,자성체 세라믹의 열처리용 내화갑,19921211.0,C04B35/10,0.0,0.0,1.0,3.0
C,2138600091,1,,,,1019980005433,데이터통신시스템과 그 통신방법,19980220.0,,0.0,0.0,2.0,5.0
M,6318100095,1,,,,1020030023571,초정밀부품 장착설비의 칩 마운트 헤드,20030415.0,H01L21/67144,0.0,0.0,2.0,3.0
F,4708800099,1,,,,2020030027184,액정디스플레이 패널 제진장치의 이온바 설치구조,20030825.0,G02F1/1303,0.0,0.0,1.0,1.0
J,1238100101,1,,,,1020010047929,웹문서 음성제공시스템 및 그 방법,20010809.0,G06Q50/10,0.0,0.0,2.0,7.0
J,1248100105,1,,,,1020020009015,대전방지 및 보호기능을 갖는 광디스크,20020220.0,G11B7/24053,0.0,0.0,1.0,1.0
J,1138600112,1,,,,1020160031811,"가상 플레이어와 함께하는 다트 게임 대전 모드를 제공하는 방법, 장치 및 컴퓨터 판독 가능 매체에 저장된 컴퓨터 프로그램",20160317.0,F41J3/02,0.0,0.0,1.0,5.0
C,3148100117,1,,,,1020000046817,마이크로웨이브용 필터 및 듀플렉서의 주파수 특성자동조정장치 및 방법,20000812.0,H01P1/2056,0.0,0.0,1.0,10.0
F,1228100119,1,,,,2020070019745,회전커넥터용 플랫케이블 보호장치,20071207.0,B60R16/0215,1.0,0.0,1.0,4.0
C,1078600127,1,,,,2020050009181,쓰레기 배출무게에 따른 비용결제기능과 외부통신기능을갖춘 쓰레기 수거용기,20050404.0,B65F1/1615,0.0,0.0,4.0,4.0
F,3038100130,1,,,,1020130079456,악취제거용 크린룸,20130708.0,B65F1/1426,0.0,0.0,1.0,4.0
F,1228100134,1,,,,1020000067127,네트워크상에서 음성 및 영상 데이터 전송 장치 및 그 방법,20001113.0,H04L12/00,0.0,0.0,1.0,26.0
F,1148600135,1,,,,1020090084931,항생제 내성 신속 진단 키트를 양산하는 자동분주 장치,20090909.0,G01N35/1009,3.0,0.0,5.0,10.0
F,1268600147,1,,,,1020130079456,악취제거용 크린룸,20130708.0,B65F1/1426,0.0,0.0,1.0,4.0
J,1078700148,1,,,,1020130033720,금융상품거래를 위한 예측 플랫폼 시스템 및 그 제공방법,20130328.0,G06Q40/04,0.0,0.0,1.0,6.0
C,1398100152,1,,,,2019950033939,우편물운반차의 제동장치,19951116.0,B62B5/0433,0.0,0.0,1.0,0.0
F,7068100154,1,,,,1019980027893,새도우마스크용 앤티도밍 코팅제,19980710.0,,0.0,0.0,1.0,5.0
