대분류코드,사업자등록번호,순번,특허명칭,IPC코드내용,출원인명,출원번호,특허명,출원날짜,CPC번호,인용수,피인용수,발명자수,청구항수
G,1240400001,1,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127679,,,,0.0,0.0,0.0,0.0
G,1240400001,2,다중 베이직 서비스 식별자 세트를 이용하는 무선 통신 방법 및 무선 통신 단말,H04W-074/08,에스케이텔레콤 주***,1020227034781,,,,0.0,0.0,0.0,0.0
G,1240400001,3,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127684,,,,0.0,0.0,0.0,0.0
G,1240400001,4,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127681,,,,0.0,0.0,0.0,0.0
G,1240400001,5,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127675,,,,0.0,0.0,0.0,0.0
G,1240400001,6,움직임벡터를 부호화 또는 복호화하기 위한 장치 및 방법,H04N-019/109,에스케이텔레콤 주***,1020220123988,,,,0.0,0.0,0.0,0.0
G,1240400001,7,대역폭 정보 제공 방법 및 이를 위한 장치,H04L-067/63,에스케이텔레콤 주***,1020220122013,,,,0.0,0.0,0.0,0.0
G,1240400001,8,ACK를 전송하는 무선 통신 방법 및 이를 사용하는 무선 통신 단말,H04W-084/12,에스케이텔레콤 주***,1020227033149,,,,0.0,0.0,0.0,0.0
G,1240400001,9,ACK를 전송하는 무선 통신 방법 및 이를 사용하는 무선 통신 단말,H04W-084/12,에스케이텔레콤 주***,1020227033150,,,,0.0,0.0,0.0,0.0
G,1240400001,10,다중 사용자 EDCA 동작을 위한 무선 통신 단말 및 무선 통신 방법,H04W-074/08,에스케이텔레콤 주***,1020227032282,,,,0.0,0.0,0.0,0.0
G,1242100002,1,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127679,,,,0.0,0.0,0.0,0.0
G,1242100002,2,다중 베이직 서비스 식별자 세트를 이용하는 무선 통신 방법 및 무선 통신 단말,H04W-074/08,에스케이텔레콤 주***,1020227034781,,,,0.0,0.0,0.0,0.0
G,1242100002,3,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127684,,,,0.0,0.0,0.0,0.0
G,1242100002,4,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127681,,,,0.0,0.0,0.0,0.0
G,1242100002,5,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127675,,,,0.0,0.0,0.0,0.0
G,1242100002,6,움직임벡터를 부호화 또는 복호화하기 위한 장치 및 방법,H04N-019/109,에스케이텔레콤 주***,1020220123988,,,,0.0,0.0,0.0,0.0
G,1242100002,7,대역폭 정보 제공 방법 및 이를 위한 장치,H04L-067/63,에스케이텔레콤 주***,1020220122013,,,,0.0,0.0,0.0,0.0
G,1242100002,8,ACK를 전송하는 무선 통신 방법 및 이를 사용하는 무선 통신 단말,H04W-084/12,에스케이텔레콤 주***,1020227033149,,,,0.0,0.0,0.0,0.0
G,1242100002,9,ACK를 전송하는 무선 통신 방법 및 이를 사용하는 무선 통신 단말,H04W-084/12,에스케이텔레콤 주***,1020227033150,,,,0.0,0.0,0.0,0.0
G,1242100002,10,다중 사용자 EDCA 동작을 위한 무선 통신 단말 및 무선 통신 방법,H04W-074/08,에스케이텔레콤 주***,1020227032282,,,,0.0,0.0,0.0,0.0
G,1171400003,1,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127679,,,,0.0,0.0,0.0,0.0
G,1171400003,2,다중 베이직 서비스 식별자 세트를 이용하는 무선 통신 방법 및 무선 통신 단말,H04W-074/08,에스케이텔레콤 주***,1020227034781,,,,0.0,0.0,0.0,0.0
G,1171400003,3,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127684,,,,0.0,0.0,0.0,0.0
G,1171400003,4,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127681,,,,0.0,0.0,0.0,0.0
G,1171400003,5,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127675,,,,0.0,0.0,0.0,0.0
G,1171400003,6,움직임벡터를 부호화 또는 복호화하기 위한 장치 및 방법,H04N-019/109,에스케이텔레콤 주***,1020220123988,,,,0.0,0.0,0.0,0.0
G,1171400003,7,대역폭 정보 제공 방법 및 이를 위한 장치,H04L-067/63,에스케이텔레콤 주***,1020220122013,,,,0.0,0.0,0.0,0.0
G,1171400003,8,ACK를 전송하는 무선 통신 방법 및 이를 사용하는 무선 통신 단말,H04W-084/12,에스케이텔레콤 주***,1020227033150,,,,0.0,0.0,0.0,0.0
G,1171400003,9,ACK를 전송하는 무선 통신 방법 및 이를 사용하는 무선 통신 단말,H04W-084/12,에스케이텔레콤 주***,1020227033149,,,,0.0,0.0,0.0,0.0
G,1171400003,10,다중 사용자 EDCA 동작을 위한 무선 통신 단말 및 무선 통신 방법,H04W-074/08,에스케이텔레콤 주***,1020227032282,,,,0.0,0.0,0.0,0.0
G,1212000004,1,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127679,,,,0.0,0.0,0.0,0.0
G,1212000004,2,다중 베이직 서비스 식별자 세트를 이용하는 무선 통신 방법 및 무선 통신 단말,H04W-074/08,에스케이텔레콤 주***,1020227034781,,,,0.0,0.0,0.0,0.0
G,1212000004,3,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127684,,,,0.0,0.0,0.0,0.0
G,1212000004,4,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127681,,,,0.0,0.0,0.0,0.0
G,1212000004,5,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127675,,,,0.0,0.0,0.0,0.0
G,1212000004,6,움직임벡터를 부호화 또는 복호화하기 위한 장치 및 방법,H04N-019/109,에스케이텔레콤 주***,1020220123988,,,,0.0,0.0,0.0,0.0
G,1212000004,7,대역폭 정보 제공 방법 및 이를 위한 장치,H04L-067/63,에스케이텔레콤 주***,1020220122013,,,,0.0,0.0,0.0,0.0
G,1212000004,8,ACK를 전송하는 무선 통신 방법 및 이를 사용하는 무선 통신 단말,H04W-084/12,에스케이텔레콤 주***,1020227033150,,,,0.0,0.0,0.0,0.0
G,1212000004,9,ACK를 전송하는 무선 통신 방법 및 이를 사용하는 무선 통신 단말,H04W-084/12,에스케이텔레콤 주***,1020227033149,,,,0.0,0.0,0.0,0.0
G,1212000004,10,다중 사용자 EDCA 동작을 위한 무선 통신 단말 및 무선 통신 방법,H04W-074/08,에스케이텔레콤 주***,1020227032282,,,,0.0,0.0,0.0,0.0
G,1274000005,1,증강현실 뷰를 사용하는 경로 안내 방법 및 장치,G01C-021/36,네이버랩스 주***,1020220133920,,,,0.0,0.0,0.0,0.0
G,1274000005,2,"주문 중개 방법 및 시스템, 주문 중개 시스템을 이용한 주문 접수 방법",G06Q-050/12,네이버 주***,1020220132208,,,,0.0,0.0,0.0,0.0
