대분류코드,사업자등록번호,순번,특허명칭,IPC코드내용,출원인명,출원번호,특허명,출원날짜,CPC번호,인용수,피인용수,발명자수,청구항수
G,1240400001,1,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127679,,,,0.0,0.0,0.0,0.0
G,1242100002,1,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127679,,,,0.0,0.0,0.0,0.0
G,1171400003,1,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127679,,,,0.0,0.0,0.0,0.0
G,1212000004,1,비제로 계수들의 위치를 표현하는 방법 및 장치,H04N-019/129,에스케이텔레콤 주***,1020220127679,,,,0.0,0.0,0.0,0.0
G,1274000005,1,증강현실 뷰를 사용하는 경로 안내 방법 및 장치,G01C-021/36,네이버랩스 주***,1020220133920,,,,0.0,0.0,0.0,0.0
G,5382500007,1,랜덤액세스형 메모리 회로 및 메모리 시스템,G11C-013/00,고쿠리츠 다이가꾸 호우진 시즈오까 다***,1020227026466,,,,0.0,0.0,0.0,0.0
F,3178100014,2,지중 관로용 도통 측정기,G01B-011/10,김**,1020200058090,,,,0.0,0.0,0.0,0.0
F,1140300016,1,포토리소그래피 마스크의 에어리얼 이미지 시뮬레이션을 수행하기 위한 방법 및 장치,G03F-007/20,칼 짜이스 에스엠티 게***,1020227032566,,,,0.0,0.0,0.0,0.0
G,4428800028,2,무주 지붕형 건축 구조물,E04B-007/08,이*,1020160107480,,,,0.0,0.0,0.0,0.0
F,5892400040,1,랜덤액세스형 메모리 회로 및 메모리 시스템,G11C-013/00,고쿠리츠 다이가꾸 호우진 시즈오까 다***,1020227026466,,,,0.0,0.0,0.0,0.0
F,6172900041,1,랜덤액세스형 메모리 회로 및 메모리 시스템,G11C-013/00,고쿠리츠 다이가꾸 호우진 시즈오까 다***,1020227026466,,,,0.0,0.0,0.0,0.0
J,1028600048,2,"수용성 용매 존재하에서 압출을 통한 양극 재료의 제조방법, 상기 방법을 통해 획득된 양극 및 이의 용도",H01M-004/04,블루 솔***,1020127009180,,,,0.0,0.0,0.0,0.0
G,1351900049,1,컨테이너 선박,B63B-017/04,대우조선해양 주***,1020220118316,,,,0.0,0.0,0.0,0.0
J,8048800056,2,"공의 회전을 측정하기 위한 방법, 시스템 및 비일시성의 컴퓨터 판독 가능한 기록 매체",G01P-013/04,주식회사 크리***,1020180130255,,,,0.0,0.0,0.0,0.0
J,2298100063,2,"유동적인 메모리 사용을 기반으로 하는 고속 압축 해제를 위한 장치, 이를 위한 방법 및 이 방법을 수행하기 위한 프로그램이 기록된 컴퓨터 판독 가능한 기록매체",G06F-016/174,주이스트***,1020200060009,,,,0.0,0.0,0.0,0.0
J,1068100064,2,입체 조립 완구,,주식회사 제페토로***,3020200057559,,,,0.0,0.0,0.0,0.0
F,6058600065,2,"채팅 서비스 제공 단말, 시스템 및 이를 이용한 채팅 서비스 방법이 구현된 프로그램이 저장된 컴퓨터로 판독 가능한 기록매체",H04M-001/725,세종텔레콤 주***,1020170035392,"채팅 서비스 제공 단말, 시스템 및 이를 이용한 채팅 서비스 방법이 구현된 프로그램이 저장된 컴퓨터로 판독 가능한 기록매체",20170321.0,H04M1/72403,0.0,0.0,2.0,14.0
J,5021400066,1,고정력을 향상시킨 조립식 수납함,A47B-087/00,주식회사 제이에***,1020210034359,,,,0.0,0.0,0.0,0.0
G,1280700069,1,케이블 새그 조절수단이 구비되는 활강스포츠 시설물,A63G-021/02,주식회사 지***,1020220063275,,,,0.0,0.0,0.0,0.0
J,1108100070,2,만화컨텐츠의 다국어 자동편집 방법,G06Q-050/10,주식회사 위두커뮤니케***,1020150099606,,,,0.0,0.0,0.0,0.0
G,1212000071,1,포장용 상자,,주식회사 한마음***,3020210058317,,,,0.0,0.0,0.0,0.0
